site_name,url,active,keywords,scrape_details
PAC.org,https://pac.org/jobs,yes,,yes
OnPurpose Careers,https://www.onpurposecareers.org/jobboard,yes,,no
BC Corporate Citizenship,https://ccc.bc.edu/content/bc-ccc/news/csr-jobs.html,yes,,no
Idealist,https://www.idealist.org/en/nonprofit-jobs,yes,,no
National Endowment for Democracy,https://www.ned.org/about/work-with-us/,yes,,no
Freedom House,https://phe.tbe.taleo.net/phe01/ats/careers/v2/jobSearch?act=redirectCwsV2&cws=39&org=FREEHOUS,yes,,no
Brookings Institution,https://interns-brookings.icims.com/jobs/intro,yes,,no
Carnegie Endowment,https://carnegieendowment.applicantpro.com/jobs/,yes,,no
Atlantic Council,https://www.atlanticcouncil.org/careers/,yes,,no
German Marshall Fund,https://www.gmfus.org/careers,yes,,no
V-Dem Institute,https://www.v-dem.net/about/jobs/,yes,,no
Democracy Fund,https://democracyfund.org/about/jobs/,yes,,no
CIPE,https://www.cipe.org/about/careers/,yes,,no
CSIS,https://careers.csis.org/,yes,,no
New America Foundation,https://www.newamerica.org/about/jobs/,yes,,no
Aspen Institute,https://www.aspeninstitute.org/about/careers/,yes,,no
Common Cause,https://www.commoncause.org/careers/,yes,,no
Issue One,https://issueone.org/careers/,yes,,no
RepresentUs,https://jobs.lever.co/representus,yes,,no
Democracy Alliance,https://www.democracyalliance.org/careers/,yes,,no
Omidyar Network,https://job-boards.greenhouse.io/omidyarnetwork,yes,,no
Skoll Foundation,https://skoll.org/about/careers/,yes,,no
Mott Foundation,https://www.mott.org/about/careers/,yes,,no
Hewlett Foundation,https://hewlett.org/about-us/careers/,yes,,no
FSG,https://job-boards.greenhouse.io/fsg,yes,,no
Rockefeller Philanthropy Advisors,https://www.rockpa.org/careers/,yes,,no
Packard Foundation,https://www.packard.org/about-the-foundation/careers/,yes,,no
Gates Foundation,https://gatesfoundation.wd1.myworkdayjobs.com/en-US/Gates,yes,,no
The Nature Conservancy,https://careers.tnc.org/us/en/search-results,yes,,no
